message_id,user_id,cp_name,source,cp_id,ai_chat_id,sender_type,message_content,actual_created_at
"667,356","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",user,tell me my chances to get hired and reasons,"30 Apr, 2026, 10:13 AM"
"667,357","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",ai,"Placement depends on your preparation, interview performance, and skills. The Placement Cell assists you by providing job applications through Auto-Apply, mock interviews, resume reviews, and continuous guidance until you land your first job. While Coding Ninjas does not guarantee placements, the support is designed to help you improve your chances and succeed. Would you like to know more about the placement features or how to prepare effectively?","30 Apr, 2026, 10:13 AM"
"667,358","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",user,thanks,"30 Apr, 2026, 10:13 AM"
"667,359","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",ai,You're welcome! Is there anything else I can help with?,"30 Apr, 2026, 10:13 AM"
"667,360","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",user,Yes,"30 Apr, 2026, 10:13 AM"
"667,361","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",ai,Great! What would you like help with next?,"30 Apr, 2026, 10:13 AM"
"667,362","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",user,which topic should i pick today ,"30 Apr, 2026, 10:14 AM"
"667,363","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",ai,Could you please tell me which course or subject you are currently following? That will help me suggest the best topic for you to focus on today.,"30 Apr, 2026, 10:14 AM"
"667,365","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",user,excel,"30 Apr, 2026, 10:14 AM"
"667,366","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",ai,"For Excel, a good approach is to focus on practicing through the AI Practice feature, which is available 24/7 and helps you simulate real interview scenarios with feedback on your approach. You can access AI Practice from the 1:1 session booking page or the Skill Badge page in your classroom. This will help identify gaps in your knowledge and build confidence before real mentor sessions.

Would you like me to guide you on how to access AI Practice or recommend specific Excel topics to prioritize?","30 Apr, 2026, 10:14 AM"
"667,367","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",user,no,"30 Apr, 2026, 10:14 AM"
"667,368","10,060,988",Job Bootcamp Data Analytics Live | 23 Jul 2025,classroom,"34,993","105,921",ai,"No problem! If you want a quick suggestion for Excel, you can focus on mastering formulas and functions first, as they are fundamental. Then, practice data analysis tools like Pivot Tables and charts. Let me know if you want guidance on any specific topic or feature.","30 Apr, 2026, 10:14 AM"
"665,215","10,240,606",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","107,429",user,how i can see which job opportunities we have,"29 Apr, 2026, 12:11 AM"
"665,216","10,240,606",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","107,429",ai,"You can find job opportunities in your Placement section on the dashboard. It provides curated job listings based on your eligibility, which you can browse and apply to directly. Make sure your resume is uploaded there, as it's necessary for applying. You can also set your job preferences to match relevant roles.

If you don't see the Placement section, it might be because you haven't earned at least one Skill Badge yet.

Would you like guidance on how to upload your resume or set job preferences?","29 Apr, 2026, 12:11 AM"
"668,288","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",user,hi,"30 Apr, 2026, 5:28 PM"
"668,289","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",ai,Hi Amit Kumar! How can I assist you with your Coding Ninjas classroom today?,"30 Apr, 2026, 5:28 PM"
"668,290","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",user,connect me with the RM,"30 Apr, 2026, 5:29 PM"
"668,291","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",ai,"I'll help connect you with your Relationship Manager (RM). We have created a ticket for your issue, and your RM should get in touch with you within 24–48 working hours. Is there anything else I can help you with?","30 Apr, 2026, 5:29 PM"
"668,292","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",user,Yes,"30 Apr, 2026, 5:29 PM"
"668,293","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",ai,"Great! Please let me know what else you need help with, and I'll assist you.","30 Apr, 2026, 5:29 PM"
"668,294","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",user,make it assp.,"30 Apr, 2026, 5:29 PM"
"668,295","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",ai,"I understand you want the connection with your Relationship Manager (RM) to be as soon as possible. While I can't speed up the process, your RM will contact you within 24–48 working hours. Meanwhile, is there anything else I can assist you with?","30 Apr, 2026, 5:29 PM"
"668,296","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",user,No,"30 Apr, 2026, 5:29 PM"
"668,297","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",ai,Was this helpful?,"30 Apr, 2026, 5:29 PM"
"668,298","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",user,Yes,"30 Apr, 2026, 5:29 PM"
"668,299","7,489,569",Job Bootcamp Data Analytics Live | 06 Aug 2025,classroom,"35,055","110,465",ai,I'm glad I could help! Please drop your feedback to help us improve.,"30 Apr, 2026, 5:29 PM"
"666,590","8,165,580",Job Bootcamp DA Live | 24 Jan 2025(A),classroom,"34,617","113,262",user,Hi ,"29 Apr, 2026, 8:16 PM"
"666,591","8,165,580",Job Bootcamp DA Live | 24 Jan 2025(A),classroom,"34,617","113,262",ai,Hi Akash Bisht! How can I assist you with your Coding Ninjas classroom today?,"29 Apr, 2026, 8:16 PM"
"666,594","8,165,580",Job Bootcamp DA Live | 24 Jan 2025(A),classroom,"34,617","113,262",user,Can you please tell me by when the course is valid?,"29 Apr, 2026, 8:17 PM"
"666,595","8,165,580",Job Bootcamp DA Live | 24 Jan 2025(A),classroom,"34,617","113,262",ai,"Your course access lasts for 21 months from the course start date. During this period, you can access all modules, projects, assignments, notes, live class recordings, and practice content. After this duration, some access, like live recordings and doubt support, may no longer be available. Let me know if you'd like details on what happens after your course ends.","29 Apr, 2026, 8:17 PM"
"666,598","8,165,580",Job Bootcamp DA Live | 24 Jan 2025(A),classroom,"34,617","113,262",user,Yeah please tell me the date ,"29 Apr, 2026, 8:17 PM"
